Family,Genus,Species,Comun Name,Number of recordings
Furnariidae,Leptasthenura,Leptasthenura andicola,AndeanTit-Spinetail,30
Tyrannidae,Myiophobus,Myiophobus roraimae,RoraimanFlycatcher,31
Tyrannidae,Phyllomyias,Phyllomyias plumbeiceps,Plumbeous-crownedTyrannulet,31
Cotingidae,Ampelion,Ampelion rubrocristatus,Red-crestedCotinga,31
Thraupidae,Sphenopsis,Sphenopsis frontalis,OleaginousHemispingus,31
Thraupidae,Tangara,Tangara schrankii,Green-and-goldTanager,31
Thraupidae,Ixothraupis,Ixothraupis rufigula,Rufous-throatedTanager,31
Tyrannidae,Sirystes,Sirystes albocinereus,White-rumpedSirystes,31
Troglodytidae,Troglodytes,Troglodytes ochraceus,OchraceousWren,31
Grallaridae,Hylopezus,Hylopezus fulviventris,White-loredAntpitta,31
Thraupidae,Conirostrum,Conirostrum binghami,GiantConebill,31
Fringilidae,Spinus,Spinus spinescens,AndeanSiskin,31
Cotingidae,Pipreola,Pipreola jucunda,Orange-breastedFruiteater,31
Thamnophilidae,Thamnophilus,Thamnophilus melanonotus,Black-backedAntshrike,32
Thamnophilidae,Thamnophilus,Thamnophilus praecox,CochaAntshrike,32
Thamnophilidae,Euchrepomis,Euchrepomis callinota,Rufous-rumpedAntwren,32
Onychorhynchidae,Myiobius,Myiobius barbatus,WhiskeredMyiobius,32
Conopophagidae,Pittasoma,Pittasoma rufopileatum,Rufous-crownedAntpitta,32
Thraupidae,Sporophila,Sporophila telasco,Chestnut-throatedSeedeater,32
Rhinocryptidae,Scytalopus,Scytalopus perijanus,PerijaTapaculo,32
Troglodytidae,Henicorhina,Henicorhina anachoreta,HermitWoodWren,32
Tyrannidae,Arundinicola,Arundinicola leucocephala,White-headedMarshTyrant,32
Thraupidae,Conirostrum,Conirostrum albifrons,CappedConebill,32
Thraupidae,Paroaria,Paroaria gularis,Red-cappedCardinal,32
Hirundinidae,Atticora,Atticora tibialis,White-thighedSwallow,32
Pipridae,Machaeropterus,Machaeropterus regulus,KingletManakin,33
Furnariidae,Thripophaga,Thripophaga fusciceps,PlainSofttail,33
Fringilidae,Euphonia,Euphonia trinitatis,TrinidadEuphonia,33
Furnariidae,Thripadectes,Thripadectes ignobilis,UniformTreehunter,33
Furnariidae,Ancistrops,Ancistrops strigilatus,Chestnut-wingedHookbill,33
Thamnophilidae,Euchrepomis,Euchrepomis spodioptila,Ash-wingedAntwren,34
Thraupidae,Tachyphonus,Tachyphonus surinamus,Fulvous-crestedTanager,34
Cotingidae,Phoenicircus,Phoenicircus nigricollis,Black-neckedRedCotinga,34
Passerellidae,Atlapetes,Atlapetes leucopis,White-rimmedBrushfinch,34
Thraupidae,Cyanerpes,Cyanerpes caeruleus,PurpleHoneycreeper,34
Furnariidae,Dendroma,Dendroma erythroptera,Chestnut-wingedFoliage-gleaner,34
Fringilidae,Euphonia,Euphonia concinna,Velvet-frontedEuphonia,34
Thamnophilidae,Thamnophilus,Thamnophilus cryptoleucus,Castelnau'sAntshrike,34
Tyrannidae,Myiarchus,Myiarchus apicalis,ApicalFlycatcher,34
Rhinocryptidae,Scytalopus,Scytalopus sanctaemartae,SantaMartaTapaculo,35
Icteridae,Lampropsar,Lampropsar tanagrinus,Velvet-frontedGrackle,35
Thamnophilidae,Myrmotherula,Myrmotherula assimilis,LeadenAntwren,35
Tityridae,Schiffornis,Schiffornis aenea,FoothillSchiffornis,35
Cotingidae,Lipaugus,Lipaugus weberi,Chestnut-cappedPiha,35
Tyrannidae,Oncostoma,Oncostoma olivaceum,SouthernBentbill,35
Furnariidae,Sclerurus,Sclerurus mexicanus,Tawny-throatedLeaftosser,35
Icteridae,Cacicus,Cacicus oseryi,CasquedOropendola,35
Tyrannidae,Tyrannus,Tyrannus forficatus,Scissor-tailedFlycatcher,36
Tyrannidae,Conopias,Conopias albovittatus,White-ringedFlycatcher,36
Grallaridae,Grallaricula,Grallaricula lineifrons,Crescent-facedAntpitta,36
Fringilidae,Euphonia,Euphonia fulvicrissa,Fulvous-ventedEuphonia,36
Thraupidae,Tangara,Tangara labradorides,Metallic-greenTanager,36
